,ANT(9)-Ia,tet(L),tetO,catQ,AAC(6')-Ic,MexB,AAC(6')-Ie-APH(2'')-Ia,ErmF,ErmT,ErmC,ErmX,tet(K),MexC,MexD,OprJ,SAT-4,ceoA,ceoB,APH(6)-Id,opcM,rosB,ANT(2'')-Ia,acrB,Escherichia coli acrA,kdpE,msbA,mdtH,ugd,mdtA,mdtB,mdtC,yojI,emrR,bacA,acrS,acrE,mdtM,SHV-16,tet(J),CfxA2,tet(G),smeA,smeB,smeC,smeS,smeR,AAC(6')-Iy,aadA2,farA,farB,mtrD,mtrC,Mef(En2),ErmB,ACC-3,cmx,TriA,TriB,TriC,OprM,fosA,PmpM,Pseudomonas aeruginosa soxR,MexE,MexF,OprN,OpmB,MuxC,MuxB,MuxA,arnA,mexK,mexJ,mexL,ArmR,mexG,mexH,opmD,mexV,mexW,OpmH,Pseudomonas aeruginosa emrE,AAC(3)-Ia,IND-3,mphB,dfrA16,patB,patA,pmrA,mefE,adeB,sdiA,aadA10,sul2,mel,Streptococcus agalactiae mprF,tet(A),tet37,dfrC,lsaA,Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin,Enterococcus faecium chloramphenicol acetyltransferase,catB2,oqxA,oqxB,OXA-85,tet(41),OXA-50,norA,TEM-126,aad(6),mepA,tet(38),macA,macB,Staphylococcys aureus LmrS,tet(39),adeJ,adeK,lnuC,qacH,arlS,Enterobacter cloacae acrA,APH(3'')-Ib,Acinetobacter baumannii AbaF,mecR1,mdtG,aadA13,PC1 beta-lactamase (blaZ),OXA-114a,FosA2,dfrA27,arr-3,aadA16,tet32,Acinetobacter baumannii AbaQ,adeI,aadA12,PDC-8,Acinetobacter baumannii AmvA,CfxA6,ANT(4')-Ib,hmrM,Bifidobacteria intrinsic ileS conferring resistance to mupirocin,lsaC,sul1,CTX-M-110,CrpP,tetA(46),tetB(46),ACT-10,basS,Escherichia coli mdfA,ramA,GES-21,catB3,mecA,APH(3')-IIIa,adeN,ANT(6)-Ia,Chryseobacterium meningosepticum BlaB,MIR-14,RlmA(II),FosA5,AAC(6')-Ib7,adeL,bcr-1,gadW,tetA(60),tetB(60),qnrE1,lmrD,mphA,emrK,emrY,Staphylococcus aureus norA,marA,baeS,baeR,emrA,SRT-1,mexX,mexY,mphC,H-NS,evgA,cpxA,mgrA,mepR,emeA,tet(B),mexM,mexN,mexP,mexQ,opmE,gadX,mdtE,CRP,mdtP,mdtO,mdtN,eptA,pgpB,Klebsiella pneumoniae KpnE,Klebsiella pneumoniae KpnF,Escherichia coli ampH,CTX-M-137,Klebsiella pneumoniae OmpK37,tetW,catI,msrA,catS,mupA,APH(3')-IIb,mtrE,tetQ,BRO-2,L1 beta-lactamase,smeD,smeE,smeF,Klebsiella pneumoniae acrA,Erm(33),aphA15,APH(3')-Ia,fusC,amrA,IND-6,aadA6,adeF,SHV-100,tetM,dfrA22,Escherichia coli ampC1 beta-lactamase,efrB,ICR-Mc,OprZ,AxyX,Klebsiella pneumoniae KpnG,Staphylococcus aureus FosB,dfrE,MexA,Pseudomonas aeruginosa catB7,mexI,Escherichia coli ampC,Corynebacterium striatum tetA,Pseudomonas aeruginosa CpxR,arlR,MCR-9,efrA
AL0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.69051141,33.5324927,16.47509172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.71451509,0,0,11.44272947,0,0,0,0,0,9.506891441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.710184942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.851123286,0,0,0,0,0,0,0,0,0,0,0,38.42087019,15.5528197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.50279216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.733401535,0,0
CH0002,0,0,0,0,0,0,0,0,0,0,1.990455812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41388114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.026962465,3.703173604,10.60218383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.851586802,3.389825493,4.678546556,6.474380823,4.787461701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.695330479,0,0,0,0,7.340796563,0,0,0,0,0,0,0,0,0,0,0,0,2.41780706,0,0,0,0,0,7.157660961,1.849121672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.361365988,0,0,0,0,0,0,0,0,0,10.95304531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64433309,0,0
CH0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0012,0,0,13.85048198,0,0,74.79828601,17.11513313,0,0,0,0,0,74.95596324,57.98418947,102.1918908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.94990285,0,0,92.01706783,37.58397181,129.5810375,54.41036137,88.07395172,57.47751454,97.58185959,51.18830179,76.57755568,50.73603187,30.05770112,33.07790829,57.11180416,23.95467373,51.13962308,91.59975746,66.92282754,53.21896965,64.19347193,10.69402887,74.65044221,83.30139553,40.64801965,60.84379399,50.63372415,74.87947099,0,0,0,0,91.48675546,43.64344986,84.83993902,0,0,0,0,0,2.351999323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.3795177,0,0,0,3.47068838,0,0,0,0,0,0,6.941376761,0,80.88377529,0,0,0,0,0,0,0,0,0,0,17.01170203,0,0,0,128.4161762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.736216596,73.31314501,0,0,0,0,0,0,0,9.186676046,41.43613166,68.15410931,37.15772395,74.69543869,60.6360445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.02075333,0,0,31.14866717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.12899483,0,0,0,0,0,74.52452754,76.47973354,42.7021674,0,0,20.79154736,0,0,0
CH0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.95060433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.68805837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.22402787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0727667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.469545565,0,0,0,0,0,0,0,0,0,0,0
CH0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
