"","N_raw","N_trimmed","Percent_trimmed","N_nonhuman","Percent_nonhuman","N_AMR","Percent_AMR","N_VIR","Percent_VIR","N_PHAG","Percent_PHAG","N_kaiju","N_kaijuClassified","Percent_kaijuClassified","N_kaijublast","N_kaijublastClassified","Percent_kaijublastClassified"
"AL0002",3092835,3058447,98.89,29176,0.95,0,0,14219,48.7353,54,0.1851,100000,83755,83.755,1e+05,61,0.061
"AL0003",3032983,2996860,98.81,31576,1.05,0,0,15686,49.677,70,0.2217,100000,84244,84.244,1e+05,126,0.126
"AL0004",3029664,2996704,98.91,29923,1,0,0,14243,47.5988,52,0.1738,100000,83946,83.946,1e+05,41,0.041
"CH0001",3478198,3434779,98.75,167353,4.87,54,0.0323,46363,27.7037,1505,0.8993,100000,89080,89.08,1e+05,11571,11.571
"CH0002",4226567,4177801,98.85,399998,9.57,57,0.0143,49708,12.4271,1793,0.4483,100000,93525,93.525,1e+05,13963,13.963
"CH0006",3546686,3508528,98.92,37663,1.07,0,0,22680,60.2183,46,0.1221,100000,79961,79.961,1e+05,69,0.069
"CH0012",3784192,3740845,98.85,213396,5.7,862,0.4039,28240,13.2336,2211,1.0361,100000,96252,96.252,1e+05,16923,16.923
"CH0016",3944132,3898736,98.85,71877,1.84,7,0.0097,35174,48.9364,113,0.1572,100000,85429,85.429,1e+05,11812,11.812
"CH0018",4103052,4059534,98.94,62068,1.53,4,0.0064,19237,30.9934,108,0.174,100000,82125,82.125,1e+05,2852,2.852
"CH0019",3795235,3756116,98.97,38444,1.02,0,0,17896,46.5508,62,0.1613,100000,86591,86.591,1e+05,46,0.046
"CH0020",3938082,3891440,98.82,46308,1.19,0,0,15779,34.074,85,0.1836,100000,67737,67.737,1e+05,98,0.098
"CH0022",4835611,4786937,98.99,47363,0.99,0,0,22516,47.5392,90,0.19,100000,85876,85.876,1e+05,50,0.05
"CH0023",4653792,4558312,97.95,168011,3.69,61,0.0363,41466,24.6805,1563,0.9303,100000,88196,88.196,1e+05,9809,9.809
"CH0030",4662010,4554865,97.7,48696,1.07,0,0,19902,40.8699,55,0.1129,100000,85236,85.236,1e+05,61,0.061
"CH0035",3406186,3336203,97.95,208811,6.26,66,0.0316,39647,18.987,2032,0.9731,100000,93128,93.128,1e+05,16100,16.1
"CH0038",3719890,3637412,97.78,37333,1.03,0,0,15267,40.8941,40,0.1071,100000,85184,85.184,1e+05,70,0.07
"CH0039",3829010,3749302,97.92,41783,1.11,0,0,23290,55.7404,57,0.1364,100000,80102,80.102,1e+05,91,0.091
"CH0050",3864614,3779876,97.81,119355,3.16,36,0.0302,35597,29.8245,273,0.2287,100000,92360,92.36,1e+05,7656,7.656
"CH0055",3630975,3542800,97.57,98187,2.77,46,0.0468,27267,27.7705,166,0.1691,100000,91142,91.142,1e+05,7556,7.556
"DU0002",4026419,3952692,98.17,71866,1.82,12,0.0167,22917,31.8885,179,0.2491,100000,89399,89.399,1e+05,8413,8.413
"DU0004",3847686,3788031,98.45,86208,2.28,13,0.0151,35047,40.654,534,0.6194,100000,83043,83.043,1e+05,7746,7.746
"DU0005",3620199,3540638,97.8,618149,17.46,434,0.0702,106349,17.2044,5950,0.9626,100000,94671,94.671,1e+05,12241,12.241
"DU0007",3556004,3489264,98.12,48727,1.4,0,0,16806,34.4901,113,0.2319,100000,82129,82.129,1e+05,590,0.59
"DU0010",3909576,3834923,98.09,2162198,56.38,1739,0.0804,183853,8.5031,19931,0.9218,100000,96747,96.747,1e+05,24159,24.159
"DU0012",2952678,2714713,91.94,49855,1.84,12,0.0241,14171,28.4244,65,0.1304,100000,83092,83.092,1e+05,917,0.917
"DU0013",3372589,3183311,94.39,47932,1.51,1,0.0021,18047,37.6513,112,0.2337,100000,86158,86.158,1e+05,1707,1.707
"DU0017",4092548,4064288,99.31,1678277,41.29,962,0.0573,171223,10.2023,11658,0.6946,100000,94616,94.616,1e+05,9233,9.233
"DU0019",3771498,3740657,99.18,427499,11.43,430,0.1006,79133,18.5107,2832,0.6625,100000,96788,96.788,1e+05,18793,18.793
