SampleID,SC_AMR_alt
AL0002,0
AL0003,0
AL0004,0
CH0001,1
CH0002,1
CH0006,0
CH0012,2
CH0016,1
CH0018,0
CH0019,0
CH0020,0
CH0022,0
CH0023,2
CH0030,0
CH0035,1
CH0038,0
CH0039,0
CH0050,1
CH0055,1
DU0002,1
DU0004,1
DU0005,1
DU0007,0
DU0010,1
DU0012,2
DU0013,0
DU0017,1
DU0019,1
DU0034,2
DU0038,1
DU0047,2
DU0058,1
DU0059,1
DU0063,1
DU0064,2
DU0071,1
DU0074,1
DU0076,1
DU0077,1
DU0083,1
DU0087,1
DU0089,1
DU0099,1
IT103,2
IT11,2
IT148,2
IT173,2
IT197,2
IT202,1
IT222,2
IT226,1
IT230,1
IT236,2
IT254,1
IT257,2
IT261,2
IT271,1
IT309,1
IT311,1
IT315,2
IT323,1
IT337,0
IT338,1
IT339,1
IT361,1
IT381,2
IT52,2
IT85,1
KL0002,1
KL0003,1
KL0004,2
KL0006,2
KL0007,1
KL0008,1
KL0009,2
KL0010,1
KL0011,1
KL0012,2
KL0013,2
KL0014,1
KL0016,1
KL0017,2
KL0018,1
KL0019,2
KL0020,1
KL0021,1
KL0022,2
KL0023,1
KL0024,1
KL0025,2
KL0026,1
KL0027,2
KL0028,1
KL0029,1
KL0031,2
KL0035,2
KL0036,0
KL0037,2
KL0039,1
KL0040,0
KL0041,0
KL0042,0
KL0043,0
SBE0003,2
SBE0004,2
SBE0006,2
SBE0007,1
SBE0008,1
SBE0009,1
SBE0010,1
SBE0011,1
SBE0012,1
SBE0015,1
SBE0018,1
SG0001,1
SG0002,1
SG0003,2
SG0006,1
SG0012,1
SG0024,1
SG0025,1
SG0028,1
SG0031,2
TBE0001,2
TBE0002,1
TBE0003,2
TBE0004,1
TBE0005,2
TBE0006,1
TBE0007,2
TBE0008,2
TBE0009,1
TBE0010,1
TBE0011,2
TBE0012,1
TBE0013,1
TBE0014,1
TBE0015,1
TBE0016,2
TBS002,1
TBS006,1
TBS011,2
TBS035,1
TBS150,2
TBS153,1
TBS160,2
TBS165,1
TBS277,0
TBS349,1
TBS365,2
TBS385,1
TBS387,1
TBS396,1
TBS425,2
TBS435,1
TBS442,1
TBS461,1
TBS466,0
TBS467,1
TBS468,2
TBS469,1
TBS479,1
TBS480,1
TBS488,1
TBS516,1
TBS524,1
TBS556,0
TBS559,0
TBS587,1
TBS596,2
TBS656,1
TBS663,1
TBS664,0
TBS668,1
TBS670,1
TBS671,1
TBS672,0
TH0007,2
TH0008,1
TH0016,1
TH0017,2
TH0019,1
TT0003,1
TT0005,1
TT0006,2
TT0009,2
TT0010,0
TT0011,1
TT0012,2
TT0014,0
TT0015,0
TT0016,1
TT0017,0
TT0018,2
TT0019,1
TT0021,1
TT0025,1
TT0029,0
TT0030,2
TT0031,1
TT0033,1
TT0034,2
TT0038,2
TT0040,0
TT0042,2
TT0043,2
TT0045,2
TT0048,1
TT0049,2
TT0051,0
TT0053,2
TT0059,1
TT0060,2
TT0061,1
TT0062,1
TT0063,1
TT0065,2
TT0067,1
TT0069,1
TTS1106,1
TTS1108,1
TTS1111,2
TTS1115,1
TTS1116,0
TTS1118,1
TTS1120,1
TTS1122,1
TTS1123,1
TTS1131,2
TTS1134,1
TTS1141,1
TTS1146,0
TTS1149,1
TTS1160,1
TTS1170,0
TTS1188,1
TTS1189,1
TTS1194,1
TTS1200,1
TTS1203,0
TTS1204,1
TTS1205,1
TTS1210,1
TTS1212,2
TTS1214,1
TTS1223,1
TTS1263,1
TTS1272,1
TTS1301,0
TTS1320,1
TTS1330,1
