Sequence_ID	Order	Percent_of_votes	Family	Percent_of_votes
k141_100005.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1000256.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1000413.concoct_part_0	Picornavirales	100	Picornaviridae	100
k141_100061.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1005118.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1007671.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1009940.concoct_part_0	Caudovirales	100	Siphoviridae	75
k141_1010679.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1015651.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1016822.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1029018.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1030173.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1032113.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1032399.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_104536.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1046858.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1048141.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1050108.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1051551.concoct_part_0	Caudovirales	50	Siphoviridae	87.5
k141_1051551.concoct_part_1	Caudovirales	100	Siphoviridae	100
k141_1053734.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1055935.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1058230.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_10605.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1066357.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1074543.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1078151.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1078546.concoct_part_0	Caudovirales	100	Podoviridae	50
k141_108092.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1085185.concoct_part_0	Caudovirales	100	Siphoviridae	88.8888888888889
k141_1085311.concoct_part_0	Caudovirales	100	Siphoviridae	50
k141_1095421.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1100446.concoct_part_0	Caudovirales	100	Siphoviridae	75
k141_1100446.concoct_part_7	Caudovirales	100	Siphoviridae	100
k141_1106154.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_111179.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1112419.concoct_part_0	Caudovirales	100	Podoviridae	50
k141_1120195.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_112664.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1126782.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1127730.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1129358.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_113035.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1133240.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1135972.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1136872.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_113846.concoct_part_0	Caudovirales	100	Siphoviridae	66.6666666666667
k141_1139495.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1144060.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1146640.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1150792.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1151388.concoct_part_0	Herpesvirales	100	Herpesviridae	100
k141_1152676.concoct_part_0	Caudovirales	100	Podoviridae	50
k141_1154892.concoct_part_0	Caudovirales	100	Unassigned	NA
