Class	FreqEx	NonEx	NonEx	FreqEx	Ex	NonEx	Ex	Ex	Ex	FreqEx	FreqEx	NonEx	Ex	Ex	NonEx	NonEx	NonEx	Ex	Ex	Ex	FreqEx	Ex	NonEx	Ex	Ex	Ex	Ex	Ex	FreqEx	Ex	FreqEx	Ex	Ex	NonEx	Ex	FreqEx	NonEx	FreqEx	FreqEx	Ex	Ex	Ex	Ex	FreqEx	FreqEx	Ex	Ex	Ex	NonEx	FreqEx	NonEx	FreqEx	Ex	FreqEx	FreqEx	FreqEx	Ex	NonEx	FreqEx	Ex	Ex	Ex	Ex	NonEx	Ex	Ex	FreqEx	Ex	Ex	Ex	NonEx	Ex	FreqEx	Ex	Ex	NonEx	NonEx	FreqEx	NonEx	FreqEx	Ex	Ex	NonEx	Ex	Ex	FreqEx	Ex	Ex	Ex	FreqEx	Ex	FreqEx	FreqEx	FreqEx	FreqEx	Ex	Ex	FreqEx	FreqEx	FreqEx	Ex	FreqEx	Ex	FreqEx	Ex	NonEx	Ex	Ex	Ex	Ex	Ex	Ex	NonEx	Ex	Ex	NonEx	Ex	Ex	FreqEx	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	FreqEx	FreqEx	NonEx	NonEx	FreqEx	Ex	NonEx	Ex	Ex	Ex	NonEx	NonEx	NonEx	NonEx	NonEx	FreqEx	Ex	FreqEx	FreqEx	Ex	FreqEx	Ex	Ex	Ex	NonEx	FreqEx	NonEx	FreqEx	NonEx	Ex	NonEx	Ex	NonEx	NonEx	Ex	NonEx	FreqEx	Ex	Ex	Ex	Ex	FreqEx	NonEx	FreqEx	NonEx	NonEx	Ex	NonEx	NonEx	NonEx	NonEx	NonEx	Ex	NonEx	NonEx	NonEx	NonEx	FreqEx	Ex	FreqEx	Ex	Ex	FreqEx	NonEx	Ex	NonEx	FreqEx	NonEx	Ex	NonEx	Ex	Ex	FreqEx	Ex	NonEx	Ex	Ex	NonEx	NonEx	Ex	Ex	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	Ex	NonEx	Ex	NonEx	NonEx	NonEx	NonEx	FreqEx	FreqEx	NonEx	Ex	Ex	NonEx	Ex	NonEx	Ex	Ex	FreqEx	Ex	NonEx	Ex	Ex	Ex	Ex	FreqEx	Ex	FreqEx	NonEx	Ex	NonEx	FreqEx	FreqEx	NonEx	NonEx	Ex	NonEx	NonEx
Actinomyces	0	3	0	25	24	0	0	18	3	0	0	0	81	0	335	0	0	50	68	0	41	2	6	134	10	17	19	2	84	62	3	4388	526	224	50	0	106	323	67	56	742	11	55	25	5	1	0	0	1	1	5	0	13	66	1	2	117	24	5274	0	28	0	1	35	50	2	0	6	263	143	3	1	328	0	230	22	145	0	1	0	203	0	75	11	0	25	34	13	2	43	1696	1	93	11	6	0	0	0	3	0	0	1	0	16	0	445	71	1	30	64	11	5	6	15	167	3	0	0	111	137	0	4	0	3	103	33	0	0	77	3	8	84	4	1	65	7	24	101	0	12	33	33	12	2	14	1	87	0	68	0	5	0	3	0	13	0	0	14	5	32	2	0	0	8	133	0	9	8	48	1	0	12	14	4	339	0	0	2	1	2	0	78	142	200	348	0	0	4	7	0	0	25	0	37	1150	11	561	1	0	7	334	138	83	0	0	39	8	38	1	0	4	99	0	255	215	100	3	28	767	81	202	65	3	0	48	112	1	12	8	7	1298	0	27	1	0	10	368	220	0	4	985	99	63	0	116	7	2	0	0	35	0
Schaalia	0	4	0	118	29	0	2	0	2	0	0	8	66	0	46	0	0	59	50	0	1	382	3	111	6	16	181	27	145	0	0	5	69	164	23	10	131	378	532	0	471	42	23	12	14	3	0	7	21	0	5	3	4	19	0	0	35	125	72	8	36	1	0	18	171	44	0	24	193	839	63	0	192	37	0	309	368	2	0	9	985	0	61	40	3	1	3	10	275	3	81	62	65	8	553	18	0	1	0	0	0	0	0	111	11	84	487	5	8	113	0	6	55	0	36	35	3	1	372	39	0	13	0	4	208	53	0	2	52	18	12	106	31	3	123	52	206	677	20	3	121	76	3	3	61	0	70	97	2	0	21	0	2	0	15	0	2	2	0	4	0	0	32	10	164	0	0	6	117	1	1	7	0	0	65	0	13	0	1	37	0	107	151	11	20	3	0	80	4	1	5	13	1	425	76	6	1134	0	129	3	478	150	71	0	0	30	32	13	10	0	0	71	38	821	161	344	12	12	65	44	53	55	18	17	101	217	43	1	7	18	6	0	63	0	0	42	22	98	4	0	410	26	216	1	190	9	5	123	0	86	1
Bifidobacterium	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	22	0	1	0	0	1	1	0	0	0	0	1	31	0	2	4	0	1	11	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	4	1	0	0	2	0	2	2	4	0	1	4	0	0	7	17	0	0	2394	3	0	5	0	0	0	2	0	0	0	0	0	0	0	0	5	0	4	8	0	0	1	0	0	0	0	7	0	0	0	14	4	0	0	5	0	0	0	2	2	594	1	0	3	0	0	2	0	1	12	0	0	5	0	0	0	0	0	25	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	4	1	0	0	68	0	14	1	0	5	0	2	0	11	2	0	0	0	0	6	0	1	0	0	0	0	5	132	0	0	0	1	4	5	0	0	0	1	1	5	0	0	5	0	0	0	0	0	0	1	0	1	0	1	3	3	0	0	0	0	10	0	0	0
Corynebacterium	0	2	0	16	12	0	0	0	0	0	0	4	13	0	174	0	0	0	3	2	4	7	2	5	1	2	4	1	17	2	0	9	15	7	1	3	9	9	8	0	13	12	17	14	3	0	0	0	0	0	0	0	0	13	0	0	5	32	12	15	15	0	0	7	6	6	0	8	17	8	2	0	271	4	5	11	196	6150	6434	4273	31	0	19	1	3	2	96	17	6	2	7	0	21	2	3	1332	0	4	34	0	0	0	3	8	0	1	36	0	5	15	0	0	60	1	15	0	0	5	18	135	3	10	3	0	27	6	1	2	13	3	10	15	2	4	5	2	20	41	0	0	11	5	2	0	1	0	23	2	16	0	0	0	4	1	0	0	0	0	685	62	0	0	0	0	47	0	4	2	0	0	0	0	30	0	3	35	0	0	0	39	1	108	387	7	355	1	0	125	1	3	6	6	0	11	299	0	6	0	5	3	38	2	49	0	0	7	2	21	0	0	0	7	4	19	105	98	0	1	54	26	288	12	0	0	37	38	0	21	0	5	6	0	1	0	0	9	61	9	3	0	4	41	63	0	24	2	2	0	0	13	0
Lawsonella	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1212	0	0	1	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	128	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	4	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0
Rothia	0	14	0	714	606	24	159	39	9	2	13	0	1677	20	462	6	17	1482	25	0	607	1906	52	630	42	111	507	50	2777	54	22	3167	692	188	1162	147	516	1327	3590	16	1111	2994	179	38	102	25	11	22	45	16	39	16	24	440	7	1	147	467	992	6	171	19	18	145	1666	43	4	20	4924	2536	305	3	476	1885	1	3204	824	4	1	2	224	2	332	265	3355	3	203	8	4945	37	101	38	1347	107	860	1	4	11	7	2	0	14	3	401	17	321	1556	12	162	1075	10	40	441	93	98	167	20	27	2929	832	14	72	2	30	375	119	0	21	1095	57	37	501	310	37	795	460	829	980	33	56	257	451	162	65	38	0	175	266	345	0	54	3	9	3	34	727	3	14	163	43	83	32	4	27	1784	0	17	100	632	8	4	60	70	56	240	335	87	23	6	656	2	171	678	32	552	18	0	4895	76	13	33	65	12	3640	3849	534	2432	2	753	26	975	657	1236	14	5	318	155	138	50	4	9	141	225	1943	264	910	256	144	2086	217	770	810	51	24	110	884	132	1672	112	130	1665	0	15	27	57	233	1572	368	1278	7	1045	269	1161	2	936	31	7	35	17	243	50
Tropheryma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	2	2	0	0	0	6	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	2	0	1	0	2	1	0	0	0	0	0	0	1	7	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	2	0	5	1	0	3	0	0	0	0	0	0	0	2	0	4	2	5	0	0	4	1	4	0	0	0	0	8	0	0	0	0	3	0	1	0	0	1	1	0	0	0	1	0	2	0	2	0	0	0	0	0	0
Pseudopropionibacterium	0	0	0	0	1	0	0	0	0	0	0	0	0	0	72	0	0	16	0	0	30	0	2	3	0	0	12	0	75	0	0	5	16	6	2	0	37	2	15	0	1	0	0	4	1	1	0	0	0	1	0	0	0	1	0	0	0	13	61	0	0	0	1	0	14	3	0	0	171	3	0	0	78	3	63	0	30	0	0	2	6	0	14	0	0	0	1	0	1	0	3	0	66	11	1	0	0	0	0	0	0	0	0	0	0	1	11	0	3	6	1	0	0	0	65	0	0	7	3	11	0	0	0	0	4	1	0	0	0	1	0	0	2	0	0	0	6	3	0	12	13	2	0	0	46	0	3	0	3	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	5	0	0	1	0	0	1	0	0	0	0	0	0	11	29	4	25	0	0	3	2	0	0	2	0	10	5	0	367	0	1	0	0	92	4	0	0	0	58	0	0	0	0	0	0	0	10	12	0	0	3	11	10	15	0	3	0	5	0	3	0	0	86	0	1	0	0	1	8	19	0	0	322	3	12	0	2	0	0	0	0	1	0
