Class	FreqEx	NonEx	NonEx	FreqEx	Ex	NonEx	Ex	Ex	Ex	FreqEx	FreqEx	NonEx	Ex	Ex	NonEx	NonEx	NonEx	Ex	Ex	Ex	FreqEx	Ex	NonEx	Ex	Ex	Ex	Ex	Ex	FreqEx	Ex	FreqEx	Ex	Ex	NonEx	Ex	FreqEx	NonEx	FreqEx	FreqEx	Ex	Ex	Ex	Ex	FreqEx	FreqEx	Ex	Ex	Ex	NonEx	FreqEx	NonEx	FreqEx	Ex	FreqEx	FreqEx	FreqEx	Ex	NonEx	FreqEx	Ex	Ex	Ex	Ex	NonEx	Ex	Ex	FreqEx	Ex	Ex	Ex	NonEx	Ex	FreqEx	Ex	Ex	NonEx	NonEx	FreqEx	NonEx	FreqEx	Ex	Ex	NonEx	Ex	Ex	FreqEx	Ex	Ex	Ex	FreqEx	Ex	FreqEx	FreqEx	FreqEx	FreqEx	Ex	Ex	FreqEx	FreqEx	FreqEx	Ex	FreqEx	Ex	FreqEx	Ex	NonEx	Ex	Ex	Ex	Ex	Ex	Ex	NonEx	Ex	Ex	NonEx	Ex	Ex	FreqEx	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	FreqEx	FreqEx	NonEx	NonEx	FreqEx	Ex	NonEx	Ex	Ex	Ex	NonEx	NonEx	NonEx	NonEx	NonEx	FreqEx	Ex	FreqEx	FreqEx	Ex	FreqEx	Ex	Ex	Ex	NonEx	FreqEx	NonEx	FreqEx	NonEx	Ex	NonEx	Ex	NonEx	NonEx	Ex	NonEx	FreqEx	Ex	Ex	Ex	Ex	FreqEx	NonEx	FreqEx	NonEx	NonEx	Ex	NonEx	NonEx	NonEx	NonEx	NonEx	Ex	NonEx	NonEx	NonEx	NonEx	FreqEx	Ex	FreqEx	Ex	Ex	FreqEx	NonEx	Ex	NonEx	FreqEx	NonEx	Ex	NonEx	Ex	Ex	FreqEx	Ex	NonEx	Ex	Ex	NonEx	NonEx	Ex	Ex	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	NonEx	Ex	NonEx	Ex	NonEx	NonEx	NonEx	NonEx	FreqEx	FreqEx	NonEx	Ex	Ex	NonEx	Ex	NonEx	Ex	Ex	FreqEx	Ex	NonEx	Ex	Ex	Ex	Ex	FreqEx	Ex	FreqEx	NonEx	Ex	NonEx	FreqEx	FreqEx	NonEx	NonEx	Ex	NonEx	NonEx
Actinomyces_naeslundii	0	0	0	2	0	0	0	2	3	0	0	0	5	0	85	0	0	14	37	0	20	2	1	26	0	5	3	0	48	14	3	739	146	140	21	0	45	95	66	9	137	11	33	12	1	1	0	0	0	0	5	0	10	13	0	1	13	20	5207	0	7	0	1	1	19	0	0	0	94	140	0	1	69	0	7	2	26	0	1	0	104	0	29	6	0	4	16	1	0	30	969	0	23	6	4	0	0	0	0	0	0	0	0	5	0	48	24	1	3	18	7	2	0	4	67	0	0	0	29	40	0	0	0	2	41	6	0	0	6	0	3	9	4	0	11	2	6	22	0	6	9	6	2	0	7	1	30	0	29	0	5	0	0	0	1	0	0	5	0	16	0	0	0	5	33	0	0	0	9	0	0	5	9	2	57	0	0	2	0	1	0	21	17	5	258	0	0	0	1	0	0	0	0	16	249	1	539	0	0	1	42	16	13	0	0	27	3	5	0	0	1	13	0	40	53	23	1	5	139	21	57	27	3	0	23	26	1	4	0	3	987	0	2	1	0	6	108	48	0	0	656	24	39	0	24	1	1	0	0	10	0
Actinomyces_oris	0	3	0	6	1	0	0	16	0	0	0	0	74	0	173	0	0	29	27	0	21	0	3	103	10	12	15	2	26	45	0	3642	272	79	25	0	60	206	1	47	597	0	19	11	1	0	0	0	1	1	0	0	3	50	0	1	66	4	67	0	19	0	0	34	29	2	0	0	168	3	3	0	82	0	33	20	33	0	0	0	32	0	38	5	0	21	3	12	2	8	710	0	22	1	2	0	0	0	0	0	0	1	0	2	0	397	30	0	27	45	4	1	6	9	78	0	0	0	74	72	0	2	0	1	46	27	0	0	64	3	5	74	0	1	53	5	10	79	0	5	23	27	10	2	7	0	56	0	33	0	0	0	2	0	12	0	0	9	4	16	2	0	0	3	95	0	3	8	39	1	0	7	5	2	282	0	0	0	1	1	0	35	25	7	61	0	0	4	6	0	0	7	0	19	870	10	18	1	0	5	223	122	69	0	0	10	4	31	1	0	2	79	0	215	162	55	2	23	611	50	112	34	0	0	12	64	0	5	8	4	307	0	25	0	0	4	256	171	0	4	322	67	24	0	87	6	1	0	0	19	0
Actinomyces_sp._oral_taxon_414	0	0	0	1	3	0	0	0	0	0	0	0	2	0	75	0	0	5	3	0	0	0	2	5	0	0	1	0	2	2	0	7	103	5	3	0	1	19	0	0	6	0	2	2	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	102	0	179	0	32	0	0	0	24	0	1	0	0	0	15	0	0	5	17	0	5	0	0	0	0	0	2	0	0	0	0	9	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	9	0	2	0	0	3	0	0	0	7	0	0	1	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	71	9	24	0	0	0	0	0	0	11	0	2	21	0	2	0	0	1	6	0	1	0	0	0	1	2	0	0	0	7	0	0	0	22	0	0	15	1	16	1	0	0	13	19	0	1	0	0	3	0	0	0	0	0	4	1	0	0	7	8	0	0	4	0	0	0	0	6	0
Actinomyces_sp._oral_taxon_897	0	0	0	16	20	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	8	1	0	0	5	0	1	0	0	3	0	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	36	0	0	0	0	0	0	0	1	0	0	5	1	0	0	0	75	0	11	0	54	0	0	0	43	0	7	0	0	0	0	0	0	0	0	1	43	4	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	2	0	2	22	3	0	0	8	16	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	179	5	0	0	0	0	0	0	7	0	0	10	0	2	0	0	0	63	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	9	17	3	0	0	0	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Schaalia_odontolytica	0	4	0	118	29	0	2	0	2	0	0	8	66	0	46	0	0	59	50	0	1	382	3	111	6	16	181	27	145	0	0	5	69	164	23	10	131	378	532	0	471	42	23	12	14	3	0	7	21	0	5	3	4	19	0	0	35	125	72	8	36	1	0	18	171	44	0	24	193	839	63	0	192	37	0	309	368	2	0	9	985	0	61	40	3	1	3	10	275	3	81	62	65	8	553	18	0	1	0	0	0	0	0	111	11	84	487	5	8	113	0	6	55	0	36	35	3	1	372	39	0	13	0	4	208	53	0	2	52	18	12	106	31	3	123	52	206	677	20	3	121	76	3	3	61	0	70	97	2	0	21	0	2	0	15	0	2	2	0	4	0	0	32	10	164	0	0	6	117	1	1	7	0	0	65	0	13	0	1	37	0	107	151	11	20	3	0	80	4	1	5	13	1	425	76	6	1134	0	129	3	478	150	71	0	0	30	32	13	10	0	0	71	38	821	161	344	12	12	65	44	53	55	18	17	101	217	43	1	7	18	6	0	63	0	0	42	22	98	4	0	410	26	216	1	190	9	5	123	0	86	1
Bifidobacterium_longum	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	22	0	1	0	0	1	1	0	0	0	0	1	31	0	2	4	0	1	11	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	4	1	0	0	2	0	2	2	4	0	1	4	0	0	7	17	0	0	2394	3	0	5	0	0	0	2	0	0	0	0	0	0	0	0	5	0	4	8	0	0	1	0	0	0	0	7	0	0	0	14	4	0	0	5	0	0	0	2	2	594	1	0	3	0	0	2	0	1	12	0	0	5	0	0	0	0	0	25	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	4	1	0	0	68	0	14	1	0	5	0	2	0	11	2	0	0	0	0	6	0	1	0	0	0	0	5	132	0	0	0	1	4	5	0	0	0	1	1	5	0	0	5	0	0	0	0	0	0	1	0	1	0	1	3	3	0	0	0	0	10	0	0	0
Corynebacterium_argentoratense	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	1	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	252	0	0	0	0	117	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Corynebacterium_diphtheriae	0	0	0	4	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	1	0	1	0	0	2	1	1	0	0	2	2	0	0	0	5	2	4	0	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	1	6	0	0	6	4	0	0	1	2	3	5	5	177	157	143	14	0	0	0	1	0	1	0	0	0	2	0	3	0	2	41	0	0	0	0	0	0	2	2	0	0	8	0	0	1	0	0	0	0	0	0	0	0	4	4	3	0	0	0	2	2	0	0	9	0	1	2	0	3	2	0	0	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	8	4	0	0	0	0	3	0	0	2	0	0	0	0	0	0	1	35	0	0	0	0	0	3	3	2	1	0	0	3	1	0	2	0	0	1	7	0	3	0	1	1	9	1	1	0	0	2	0	2	0	0	0	0	2	8	1	3	0	0	4	0	1	0	0	0	6	6	0	0	0	0	3	0	1	0	0	0	2	2	3	0	2	0	2	0	7	2	0	0	0	12	0
Corynebacterium_kroppenstedtii	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	1	0	0	0	0	15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	677	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_matruchotii	0	0	0	11	10	0	0	0	0	0	0	0	11	0	166	0	0	0	3	0	2	5	2	4	1	2	2	0	15	2	0	3	12	6	1	3	0	7	4	0	6	0	16	10	3	0	0	0	0	0	0	0	0	11	0	0	1	30	1	0	12	0	0	7	3	0	0	5	1	2	0	0	270	2	2	3	172	2	6	3	14	0	17	1	2	0	6	0	4	2	5	0	18	2	0	0	0	0	0	0	0	0	0	5	0	0	23	0	5	13	0	0	4	1	10	0	0	3	14	130	0	10	0	0	23	4	0	0	3	1	7	3	0	1	0	1	20	22	0	0	10	5	2	0	0	0	22	2	14	0	0	0	4	0	0	0	0	0	0	21	0	0	0	0	42	0	4	0	0	0	0	0	30	0	2	0	0	0	0	0	1	105	127	5	354	1	0	2	0	3	0	6	0	9	290	0	3	0	2	2	29	0	48	0	0	5	0	19	0	0	0	7	2	2	100	92	0	1	48	22	282	10	0	0	31	28	0	21	0	0	2	0	0	0	0	8	59	4	0	0	2	40	55	0	12	0	2	0	0	0	0
