Sample_ID,Type,Pseudomonas aeruginosa,Haemophilus influenzae,Streptococcus mitis,Rothia mucilaginosa,Streptococcus parasanguinis,Streptococcus pneumoniae,Klebsiella pneumoniae,Moraxella catarrhalis,Gemella sanguinis,Streptococcus salivarius,Haemophilus parainfluenzae,Streptococcus oralis,Prevotella melaninogenica,Gemella haemolysans,Streptococcus pseudopneumoniae,Serratia marcescens,Neisseria subflava,Streptococcus infantis,Acinetobacter baumannii,Mycobacterium tuberculosis,Leptotrichia wadei,Veillonella atypica,Staphylococcus aureus,Schaalia odontolytica,Streptococcus sanguinis,Veillonella dispar,Veillonella parvula,Sphingomonas melonis,Escherichia coli,Enterococcus faecalis,Sphingomonas sp. FARSPH,Cutibacterium acnes,Aspergillus fumigatus,Malassezia restricta,Plasmodium ovale,Pseudomonas sp. PGPPP1,Pyrrhoderma noxium,Aspergillus terreus,Lentinus tigrinus,Other,Aminoglycoside,MLS,Nucleoside antibiotic,Nitroimidazole antibiotic,Aminocoumarin antibiotic,Beta-lactam,Antibacterial free fatty acids,Streptogramin antibiotic,Triclosan,Fosfomycin,Fluoroquinolone,Fusidic acid,Sulfonamide antibiotic,Diaminopyrimidine,Rifamycin,Tetracycline,Peptide antibiotic,Glycopeptide,Bicyclomycin,Pleuromutilin,Acridine dye,Phenicol,Multidrug,Mupirocin
ABX-HMSP1162-M-01,Blank,229,564,113,97,211,0,0,0,0,0,0,0,0,0,0,0,0,0,318,120,0,123,128,99,0,0,0,7074,1026,233,4419,434,2523,657,438,0,0,873,0,26541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABX-HMSP1163-M-01,Blank,196,0,369,595,568,376,538,0,0,191,207,0,187,196,190,0,186,0,547,182,0,0,425,0,0,176,0,6106,0,771,2664,554,1630,199,406,0,0,1192,0,27851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABX-HMSP1164-M-01,Blank,80,0,72,0,0,37,0,0,0,0,0,0,0,0,0,835,0,0,0,0,0,0,30,0,0,0,0,0,127,0,0,531,0,1400,0,2266,0,0,46,26340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABX-HMSP1165-M-01,Blank,0,0,61,0,25,128,30,0,29,62,29,0,0,35,31,114,0,0,54,64,0,0,30,0,33,0,0,0,105,63,0,175,46,226,25,634,2538,0,1645,29548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blank,Blank,391,43,581,1206,874,752,32,0,208,416,318,1173,2349,71,513,15,57,459,87,395,52,304,137,288,278,387,193,0,91,623,0,183,14,70,395,0,0,18,0,22531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13LTBlank_S10,Blank,248,1041,123,54,81,1370,102,8237,823,46,14,143,35,372,183,47,0,87,355,693,16,0,652,36,16,0,0,0,740,2416,0,1139,44,334,1943,0,0,50,0,19114,0,0,0,0,0,212.4430892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12GREEK_S8,Blank,91,0,334,1021,154,212,0,0,398,0,108,54,75,10,0,0,0,0,0,0,380,25,10,211,8,69,97,0,0,0,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,170.9523026,0,0,0,0,82.88128087,0,0,0,0,0,0,0,0
36GREEK_S32,Blank,0,114,423,0,0,324,0,0,118,0,116,0,111,119,0,0,0,0,0,0,0,131,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60GREEK_S56,Blank,125,0,0,112,0,103,210,0,131,0,0,0,114,0,0,0,0,0,0,0,123,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL0002,Sample,6,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,8,11,0,3,0,0,0,0,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL0003,Sample,13,7,1,14,13,11,0,11,7,4,24,0,3,0,0,0,1,0,7,9,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL0004,Sample,0,0,2,0,0,0,0,0,0,4,0,5,0,5,0,0,0,0,2,4,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH0001,Sample,11,80,1063,698,156,556,4,0,727,75,862,156,408,276,517,0,816,342,14,135,88,72,496,118,30,55,48,0,18,19,0,5,0,4,0,0,0,0,0,649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH0002,Sample,2,72,424,592,71,292,5,0,165,18,803,352,98,283,88,0,1448,41,14,67,160,41,114,29,17,13,8,0,7,15,0,3,0,0,0,0,0,0,0,1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH0006,Sample,0,0,3,24,2,3,2,0,5,0,2,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,95,0,0,0,0,0,0,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH0012,Sample,9065,32,1493,155,98,1485,326,2331,164,56,36,168,3,176,1048,4,15,51,577,33,3,6,13,2,7,10,4,0,25,7,0,3,0,0,0,0,0,0,0,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH0016,Sample,1,151,2,25,387,23,1348,0,0,27,38,33,0,0,1,4,3,2,10,7,0,0,4,0,10,0,9,0,36,4,0,4,0,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH0018,Sample,5,0,0,8,0,7,10,9,10,6,1,0,6,0,0,0,0,0,13,13,0,61,10,2,3,88,1001,0,4,9,0,3,0,0,0,0,0,0,0,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH0019,Sample,0,0,6,2,0,9,0,0,4,0,0,0,0,3,0,0,1,0,4,0,0,0,4,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH0020,Sample,4,4,0,9,4,0,25,4,3,1,2,0,0,3,0,0,1,4,6,7,0,0,6,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH0022,Sample,0,9,3,0,1,5,2,1,0,0,2,4,0,0,0,0,0,0,1,7,0,0,0,8,0,0,0,0,0,106,0,6,0,0,0,0,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH0023,Sample,270,4,244,1601,2102,539,21,0,5,1498,14,51,45,0,111,0,1,33,40,191,111,373,12,66,31,574,605,0,16,15,0,4,0,1,0,0,0,0,0,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH0030,Sample,0,1,0,20,2,7,1,2,0,3,0,0,0,0,0,0,0,2,7,4,2,0,10,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
