SampleID,Alias,BioProject,accession,biosample_accession,Cohort,,,,,
10LT178_S12,#N/A,PRJNA982297,SRR24889426,SAMN35699606,Longitudinal_exacerbation,,,,,
12LT178_S30,#N/A,PRJNA982297,SRR24889425,SAMN35699607,Longitudinal_exacerbation,,,,,
15LT276_S48,#N/A,PRJNA982297,SRR24889292,SAMN35699608,Longitudinal_exacerbation,,,,,
16LT252_S57,#N/A,PRJNA982297,SRR24889281,SAMN35699609,Longitudinal_exacerbation,,,,,
17LT425_S66,#N/A,PRJNA982297,SRR24889270,SAMN35699610,Longitudinal_exacerbation,,,,,
1LT125_S1,#N/A,PRJNA982297,SRR24889384,SAMN35699611,Longitudinal_exacerbation,,,,,
21LT425_S31,#N/A,PRJNA982297,SRR24889373,SAMN35699612,Longitudinal_exacerbation,,,,,
22LT394_S40,#N/A,PRJNA982297,SRR24889362,SAMN35699613,Longitudinal_exacerbation,,,,,
23LT426_S49,#N/A,PRJNA982297,SRR24889319,SAMN35699614,Longitudinal_exacerbation,,,,,
24LT515_S58,#N/A,PRJNA982297,SRR24889308,SAMN35699615,Longitudinal_exacerbation,,,,,
25LT334_S67,#N/A,PRJNA982297,SRR24889424,SAMN35699616,Longitudinal_exacerbation,,,,,
27LT14_S4,#N/A,PRJNA982297,SRR24889413,SAMN35699617,Longitudinal_exacerbation,,,,,
28LT128_S14,#N/A,PRJNA982297,SRR24889402,SAMN35699618,Longitudinal_exacerbation,,,,,
30LT125_S32,#N/A,PRJNA982297,SRR24889391,SAMN35699619,Longitudinal_exacerbation,,,,,
31LT28_S41,#N/A,PRJNA982297,SRR24889348,SAMN35699620,Longitudinal_exacerbation,,,,,
32LT252_S50,#N/A,PRJNA982297,SRR24889337,SAMN35699621,Longitudinal_exacerbation,,,,,
33LT4127_S59,#N/A,PRJNA982297,SRR24889297,SAMN35699622,Longitudinal_exacerbation,,,,,
35LT217_S5,#N/A,PRJNA982297,SRR24889295,SAMN35699623,Longitudinal_exacerbation,,,,,
36LT540_S15,#N/A,PRJNA982297,SRR24889294,SAMN35699624,Longitudinal_exacerbation,,,,,
38LT127_S33,#N/A,PRJNA982297,SRR24889293,SAMN35699625,Longitudinal_exacerbation,,,,,
3LT217_S20,#N/A,PRJNA982297,SRR24889291,SAMN35699626,Longitudinal_exacerbation,,,,,
40LT394_S42,#N/A,PRJNA982297,SRR24889290,SAMN35699627,Longitudinal_exacerbation,,,,,
41LT1111_S51,#N/A,PRJNA982297,SRR24889289,SAMN35699628,Longitudinal_exacerbation,,,,,
42LT28_S60,#N/A,PRJNA982297,SRR24889288,SAMN35699629,Longitudinal_exacerbation,,,,,
43LT334_S69,#N/A,PRJNA982297,SRR24889287,SAMN35699630,Longitudinal_exacerbation,,,,,
44LT14_S6,#N/A,PRJNA982297,SRR24889286,SAMN35699631,Longitudinal_exacerbation,,,,,
45LT276_S16,#N/A,PRJNA982297,SRR24889285,SAMN35699632,Longitudinal_exacerbation,,,,,
46LT276_S25,#N/A,PRJNA982297,SRR24889284,SAMN35699633,Longitudinal_exacerbation,,,,,
48LT205_S43,#N/A,PRJNA982297,SRR24889283,SAMN35699634,Longitudinal_exacerbation,,,,,
