"","ContigID","Protein_Hit","Gene","Drug","Mechanism","Genus","Species","Family","PlasmidOrChr","Type","CARDLength","contigLength","AL0002_S124","AL0003_S134","AL0004_S144","CH0001_S154","CH0002_S83","CH0006_S93","CH0012_S103","CH0016_S114","CH0018_S125","CH0019_S135","CH0020_S145","CH0022_S155","CH0023_S84","CH0030_S94","CH0035_S104","CH0038_S115","CH0039_S126","CH0050_S136","CH0055_S146","DU0002_S32","DU0004_S42","DU0005_S52","DU0007_S62","DU0010_S72","DU0012_S82","DU0013_S11","DU0017_S22","DU0019_S112","DU0034_S123","DU0038_S133","DU0047_S143","DU0058_S153","DU0059_S163","DU0063_S92","DU0064_S102","DU0071_S113","DU0074_S29","DU0076_S26","DU0077_S3","DU0083_S1","DU0087_S4","DU0089_S14","DU0099_S24","IT103_S55","IT11_S34","IT148_S66","IT173_S76","IT197_S5","IT202_S15","IT222_S25","IT226_S35","IT230_S45","IT236_S56","IT254_S67","IT257_S77","IT261_S6","IT271_S16","IT309_S26","IT311_S36","IT315_S46","IT323_S57","IT337_S68","IT338_S78","IT339_S7","IT361_S17","IT381_S27","IT52_S44","IT85_S58","KL0002_S156","KL0003_S85","KL0004_S95","KL0006_S105","KL0007_S116","KL0008_S127","KL0009_S137","KL0010_S147","KL0011_S157","KL0012_S10","KL0013_S86","KL0014_S96","KL0016_S106","KL0017_S117","KL0018_S128","KL0019_S138","KL0020_S37","KL0021_S148","KL0022_S158","KL0023_S87","KL0024_S97","KL0025_S107","KL0026_S118","KL0027_S129","KL0028_S139","KL0029_S149","KL0031_S159","KL0035_S88","KL0036_S98","KL0037_S108","KL0039_S119","KL0040_S130","KL0041_S140","KL0042_S150","KL0043_S160","SBE0003_S40","SBE0004_S51","SBE0006_S62","SBE0007_S72","SBE0008_S1","SBE0009_S11","SBE0010_S21","SBE0011_S31","SBE0012_S41","SBE0015_S52","SBE0018_S63","SG0001_S89","SG0002_S99","SG0003_S109","SG0006_S120","SG0012_S131","SG0024_S141","SG0025_S151","SG0028_S161","SG0031_S90","TBE0001_S73","TBE0002_S2","TBE0003_S12","TBE0004_S22","TBE0005_S32","TBE0006_S42","TBE0007_S53","TBE0008_S64","TBE0009_S74","TBE0010_S3","TBE0011_S13","TBE0012_S23","TBE0013_S33","TBE0014_S43","TBE0015_S133","TBE0016_S142","TBS002_S63","TBS006_S66","TBS011_S40","TBS035_S33","TBS150_S43","TBS153_S71","TBS160_S28","TBS165_S41","TBS277_S78","TBS349_S69","TBS365_S81","TBS385_S73","TBS387_S47","TBS396_S4","TBS425_S56","TBS435_S44","TBS442_S70","TBS461_S37","TBS466_S7","TBS467_S17","TBS468_S59","TBS469_S60","TBS479_S75","TBS480_S80","TBS488_S21","TBS516_S25","TBS524_S49","TBS556_S34","TBS559_S20","TBS587_S9","TBS596_S14","TBS656_S45","TBS663_S5","TBS664_S8","TBS668_S51","TBS670_S12","TBS671_S67","TBS672_S48","TH0007_S20","TH0008_S30","TH0016_S54","TH0017_S65","TH0019_S75","TT0003_S100","TT0005_S110","TT0006_S121","TT0009_S132","TT0010_S142","TT0011_S152","TT0012_C1","TT0014_S162","TT0015_S91","TT0016_C1","TT0017_S101","TT0018_S111","TT0019_S122","TT0021_S48","TT0025_S1","TT0029_S64","TT0030_S59","TT0031_S69","TT0033_S79","TT0034_S8","TT0038_S18","TT0040_S47","TT0042_S28","TT0043_S38","TT0045_S49","TT0048_S60","TT0049_S70","TT0051_S80","TT0053_S9","TT0059_S19","TT0060_S29","TT0061_S39","TT0062_S50","TT0063_S61","TT0065_S71","TT0067_S81","TT0069_S10","TTS1106_S54","TTS1108_S15","TTS1111_S53","TTS1115_S50","TTS1116_S57","TTS1118_S65","TTS1120_S38","TTS1122_S79","TTS1123_S10","TTS1131_S31","TTS1134_S35","TTS1141_S18","TTS1146_S76","TTS1149_S46","TTS1160_S6","TTS1170_S27","TTS1188_S58","TTS1189_S61","TTS1194_S68","TTS1200_S77","TTS1203_S39","TTS1204_S2","TTS1205_S19","TTS1210_S64","TTS1212_S36","TTS1214_S16","TTS1223_S23","TTS1263_S30","TTS1272_S24","TTS1301_S13","TTS1320_S74","TTS1330_S55","SpeciesAMR"
"1","k141_100745.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Streptococcus","Streptococcus intermedius",NA,"Chromosome","Chromosome",703,2716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895263235054627,0,0,0.00584038205660126,0,0,0,0,0,0.00988406308755414,0,0,0,0,0.0224710133852219,0,0,0.00898013128933632,0.0624121497007578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00947398118364138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119972115208759,0,0.08729736851957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610664382484213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256248509012809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060449012923542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4916386177667,0,0,0,0,0,0,0,0,0,0,0,0.0807825978511104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0633176664501422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862127686561815,0.141220403926571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124281671870037,0,"Streptococcus intermedius - Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin (Aminocoumarin antibiotic)"
"2","k141_1008547.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","","Unknown sp.",NA,"Chromosome","Chromosome",575,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0822409547867053,0,0,0,0.0257771817542794,0,0,0,0,0,0,0,0,0,0.42115803380704,0.117448337006072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103714664471094,0,0,0,0,0,0.0181071776099231,0,0,0,0.101375552400752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115012438514286,0,0,0,0,0,0.0256069034403838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508813286674581,0,0,0,0,0,0,0.366102605344594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182268056380785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119033774613914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250057867081319,0,0,0,0,0.95851738510726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282299098503906,0,0,0,0,0,0,0.0395734978581302,0,0,0.22927632731941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown sp. - efrA (Multidrug)"
"3","k141_1008935.concoct_part_0","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","Leptotrichia","Leptotrichia wadei",NA,"Chromosome","Chromosome",219,3902,0,0,0,0.0374118751342962,0.0144777080606376,0,0,0,0,0,0,0,0,0,0.118655216767145,0,0,0,0,0,0,0,0,0.0207324013087005,0,0,0,0,0,0,0,0,0.00671140041679191,0,0,0,0,0,0,0,0.111654003727235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155481273340144,0,0,0,0,0,0,0,0.0128367582853758,0.129438671660975,0,0,0,0,0,0,0.102615449093683,0,0,0.0237440364227888,0.0374810493965089,0,0,0,0.0391759129588965,0,0.0202847774052162,0,0,0,0,0,0,0,0.260164497386571,0.0274986310702066,0,0,0,0,0,0,0,0,0,0,0,0.0416998512286753,0,0.0189066641698199,0.155899337588327,0,0,0.0171194257658534,0,0,0,0,0,0,0,0,0,0.051670713275505,0,0,0,0,0.0644604830129316,0,0,0,0.0711524139929031,0,0,0,0,0,0.0136034667699655,0,0.0108935502857469,0.0368377845014788,0,0,0.0814027665846059,0,0,0,0.140301893666261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086832490914065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271177711080275,0,0,0.0432477942593112,0,0,0.0171916151258953,0,0,0,0,0,0.0167298551459281,0,0,0,0,0.0832963179176573,0,0.0482688403522535,0.033510842495752,0,0,0,0,0,0,0,0,0,0,0,0.199272844663777,0.240844939699668,0.0127480438586852,0,0,0,0,0.106309684664068,0,0,0,0,0.0673510528024998,0,0,0,0,0,0,0.00761026251561565,0,0,0.00510719401929977,0.0873373144466544,0.111634769688508,0,0,0.0401761589402464,0,0.0594202577310978,0,0.0455891797800614,0,0,0,0,0,0,"Leptotrichia wadei - arlR (Fluoroquinolone)"
"4","k141_1009127.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","Gemella","Gemella sanguinis",NA,"Chromosome","Chromosome",579,2177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112473680393731,0.0132829065293232,0,0,0,0,0.0148444466261997,0.0333789642902398,0.0166705358163128,0,0,0.0228792332781094,0,0,0.034073465141927,0,0,0.0191199442721663,0.0214449482395414,0,0,0.079101768893356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469033792327854,0,0,0,0,0,0.0299797967929297,0.2344130705785,0,0,0,0,0,0,0,0,0,0.065964168406273,0,0,0,0,0,0,0.275301348225412,0,0,0,0,0,0,0,0.168395746586224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198267431403609,0,0,0.016093993095708,0,0,0,0,0,0,0,0,0.0272236106079793,0,0,0,0,0,0,0,0.0390430141938149,0,0,0,0,0,0,0,0,0,0.0554397858542811,0.0208868807478432,0,0,0,0,0,0,0,0,0.0614573833977115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640362329129576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624341741644764,0,0,0,0,0.156256616232976,0,0,0.0321447146179851,0,0,0,0,0,0.0209323018350031,0,0,0,0,0,0,0,0.031514249638339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155647973305955,0,0.0218802371324564,0,0,0,0.532634997209815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151223556868032,0,0.111639687984934,0,0,0,0,0,0,"Gemella sanguinis - tetB(60) (Tetracycline)"
"5","k141_1011607.concoct_part_0","EHL92831","Klebsiella pneumoniae KpnG","Multidrug","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome",390,10441,0,0,0,0,0,0,0.0601889611203838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128072018727134,0,0.0898437578361485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644134738672393,0.159423774121501,0,0,0.0418112149892537,0,0,0.0353554554030284,0,0.0602363283081737,0.0410588259847138,0,0,0,0.0600649856924951,0,0,0,0,0,0,0,0,0,0,0,0.0654358992423704,0,0,0,0,0,0.0501594899530789,0.0513688234149103,0,0,0,0,0,0,0,0.0463995798629584,0,0,0,0,0.0826584012235646,0,0,0.0247337356102716,0,0,0,0,0,0,0,0,0.0151723415003483,0,0,0,0,0,0.00310087217222824,0,0,0,0,0,0,0,0,0,0,0,0,0.0706023009708105,0.0789329051785838,0,0.123663741253849,0,0.0575255613967303,0,0.107437586567961,0,0,0,0,0,0,0,0,0.0523684866899152,0,0,0.0196827961948542,0,0,0,0.100541060788714,0,0,0,0,0,0,0,0.0944840852074694,0,0,0,0,0,0.237852571457012,0,0,0,0,0,0,0,0,0,0.0790590287477677,0,0,0,0,0,0,0,0,0,0,0.0602278003291345,0,0,0,0,0.074985756212421,0,0,0.162726915275492,0,0,0,0,0.0105771815528134,0,0,0,0,0.0170722593029145,0,0,0.00913768897366589,0.0469428434050456,0,0.370919423097225,0,0.0436722920225041,0,0,0,0,0,1.18239383623247,0,0,0,0.0156766029347485,0,0,0,0,0.0145034236254913,0,0,0,0,0,0,0.0657334381266722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa - Klebsiella pneumoniae KpnG (Multidrug)"
"6","k141_10127.concoct_part_0","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome",219,1833,0,0,0,0.0839011737307657,0.0164881377092751,0,0,0,0,0,0,0,0.201697438714115,0,0.091028849023085,0,0,0,0,0,0,0.101529197626046,0,0.0118504251051009,0,0,0.0619813059594648,0,0.030182589760111,0,0,0,0.00764622828947147,0,0,0,0,0.216347641839576,0.184225313054104,0,0.107318936294388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705165186559264,0,0,0,0,0.429900932044943,0.0993620587104828,0,0,0,0.0279595116995313,0.176671350878305,0.217015920640956,0,0,0,0,0.203257149692445,0.0565764446568025,0,0.106204373557879,0,0.525262153901114,0,0.0276701640476157,0,0,0,0,0,0.149710131586041,0,0.201812829691291,0,0,0,0.212910734564675,0.00985761544255106,0,0,0,0,0,0,0,0.0933479909156272,0,0,0.0476251062246148,0,0,0.0194942228632387,0,0,0.604534484917464,0,0,0,0,0,0.122805049616897,0,0,0,0,0,0.11546024393598,0,0,0,0.0274447601534202,0.091091174441118,0,0.145530264224955,0,0,0,0,0.0610015751884009,0.126142628777035,0.0551306575937464,0,0.0469470865083281,0.120153131149054,0,0,0,0,0.0741986895714122,0.7493361726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772980142446075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00567967517412548,0,0,0.258998077660722,0,0,0,0,0,0,0,0,0,0,0.116613720181243,0.0928256896443213,0,0.331899627894657,0,0.0215544812835042,0,0.181357378101403,0,0.0972102091106597,0,0,0,0,0,0,0,0,0,0,0.175156340863694,0,0.0850027374988805,0,0,0.013306690404612,0.0744986696404625,0,0,0,0,0,0.149169622920833,0,0,0,0,0,0,0,0,0,0.0173871270657525,0,0,0,0,0.402539417871267,0,0.0719188428479406,0,0.0518429993809772,0,0,0,0,0,0,"Schaalia odontolytica - arlR (Fluoroquinolone)"
"7","k141_101659.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Rothia","Rothia dentocariosa",NA,"Chromosome","Chromosome",703,1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128329467096915,0,0,0,0,0,0,0,0,0,0,0,0.0128653056708153,0,0,0,0,0.609835953202035,0,0,0,0,0,0.0329598305555976,0.0729701294999119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246138669842993,0,0,0,0,0,0.0208380182960945,0,0,0,0,0.760051640216556,0,0,0,0,0,0.075909370386918,0,0,0,0,0.057602998038667,0,0,0,0,0,0.06928211229867,0,0,0,0,0,0,0,0.0403912202030603,0,0,0,0,0,0,0,0,0.0672772444140608,0,0.0606650360499793,0.0341722174765396,0,0,0,0,0,0,0,0,0,0,0,0.0609449331756727,0,0,0,0,0,0,0.854584982824844,0,0,0.11409451254734,0,0,0,0.73457359954173,0,0.0438251482410341,0,0,0.0359898978067779,0,0,0,0.0584559548814805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09597751008794,0,0,0,0,0,0,0,0,0,0.105158889680037,1.18570183343908,0,0,0,0,0,0,0,0,0,0.084370145180446,0,0.0552337479626554,0,0,0,0,0,0.0181465870445934,0.3615101150878,0,0,0,0,0,0.111777525788058,0,0,0,0,0,0,0,0,0,0,0,0,0.0303708959101205,0,0,0,0,0.145197624308752,0.295235787291811,0,0,0,0,0,0.208630809394982,0,0,0,0,0.760811358304042,0,0,0,0,0.00830440382000174,0,0,0,0,0.126890290858179,0,0,0,0,0,0,0,0,0,0,"Rothia dentocariosa - Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin (Aminocoumarin antibiotic)"
"8","k141_101720.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome",575,1522,0,0,0,0,0,0,0,0.486936071147973,0,0,0,0,0.639070540826544,0,0,0,0,0,0,0,0.57235135789017,0.57149477351639,1.18289202883368,0.09409630801382,0,0,0.0222307719987255,0,0,0,0,0.0172096276155957,0.0558554299772635,0,0,1.31261239236742,0.438973627498123,0.310769732035528,0.714411424149503,0,0.178190924489288,0.117190637927579,0.22573054601148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353529433398637,0,0,0,0,0.894975893142438,0.0180796270710406,0,0,0,0,0.245771330735564,0.487433240656466,0,0,0,0,0.129161234389339,0.0697255248700723,0,0,0,0.0792853038535902,0,0.0341804712587047,0,0.505473000474937,1.67660206676945,0,0,0.0996608814395008,0,0,0,0,0,0,0,0,0,0.288558917499251,0,0,0,0,0.366980097497389,0,0.0527299754109074,0.101269798841635,0,0,0.0240968970838829,0,0,0,0,0,0,0,0,0.181680494615102,0.0486557607194017,0,0,0,0,0,0,0,0,0.5378214087514,0,0,0.121153870732735,0,0,0.0380637535098208,0,0.00769389409822844,0.0768850839026406,0,0,0,0,0,0,0,0,0.334985703557083,0,0,0,0,0,0,0,0,0.261197458515824,0,0,0,0,0,0,0.239833615393424,0.0603037872644869,0.0601722455475345,0,0,0,0,0,0,0,1.0568530005965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299132617636142,0.475942024899151,0,0.122950372891872,0,0.0527952541334458,0,0.143709516878912,0.136813720262126,0,0,0,0,0,0,0,0,0,0,0,0.232890851569704,0.59713634724849,0.217604274442514,0,0,0.080468544803611,0.336225230473253,0.147827974526153,0,0,0,0,0,0.108070552426586,0.151948945859809,0,0.279488211765574,0.119012854808939,0,0,0,0,0.0285907458756104,0.387580958861966,0,0,0,0.110618576739154,0.571155434452982,0.115111915419452,0,0.202885047148895,0,0,0,0,0.229215925147086,0,"Streptococcus parasanguinis - efrA (Multidrug)"
"9","k141_1018372.concoct_part_0","CAQ49384","tetM","Tetracycline","antibiotic target protection","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome",639,1363,0,0,0,0,0,0,0.302948148578215,0,2.45025074011747,0,0,0,0.145039450459775,0,0.126723183538428,0,0,0.379519025160399,0,0,0.759614837317255,0.0884790621548234,0,0.0232944837748495,0,0,0.145460680034322,0.578694416044115,0.430492562244482,0,0,0.0953394689953651,0.0737341111185034,0.0553228810898777,0.385616177973789,0.27643179100085,0,0.0485295292323763,0.268801784429716,0,0.0387385138731915,0.743677149754929,0.132801959783545,0,0,0,0,0,0,0,0,0,0,0.405938528595943,0,0,0,0,0,0,0,0,0,0,0.0608432255626472,0.380292574935337,0,0,0.0392590113822139,0.347870136884328,0,0,0,0,0,0.246853123175333,0.38966324988115,0,0,0,0.184837270778526,0,0.113557878995064,0,0.0111637276285459,0.491184119795765,0,0,0.0775966033996252,0,0.799733956195086,0,0.594562695630712,0,0.0398703536323836,0,0,0,0.0881776249009746,0,0,0,0,0.4112018537059,0,0.552115377348601,0.0989143275590264,0,1.44504262691218,0.157125753369422,0,0,0,0.117683024418726,0.376872719812366,0,0,0,0.21452098461562,0.184839830358478,0,0,0,0,0.304404600840082,0.484226397870881,0.392467257815386,0,0.112659527494649,0,0,0,0,0,0.383387586320721,0,0.403465251429709,0.262359018703933,0.039075983693461,0.714834916004691,0.12862838883257,0.575041395917514,0,0,0.988784207147045,0,0,0,0.496202491230208,0.00706992995680982,0,0,0,0,0,0.421122741628093,1.17663647556997,0.528518609310535,0,0,0,0,0,0.0346390613631435,0.313204138159876,0,0,0,0.205511310720645,0,0,0,0,0,0.570518864304299,0,0,0.305506446076244,0,0.042163132404659,0,0,0.272507904218714,0,0.526065782195317,0,0,0.132633328554615,0,0,0,0.27045446699513,0,0.173824699130681,0.0333991272942654,0,0.139192417947839,0,0.199793838777064,0,0.175296462314871,0.202905072671539,0.258839848001133,0,0,0,0,0,0,0,0.429667376533443,0,0.0177503483502849,0.11634607392189,0.369476327430044,0.329591361037325,0,0.750562575401077,0.0734759806514476,0.20089473716419,0.316966262220776,0.623219455658242,0,0,0.270812142746937,0.206088878753861,0,0.250590303179832,0,0.57219088183288,0,0,0,0,0,0.0122768077267827,0.486499611120692,0,0,0,0,0,0.0882051343392875,0,0.270600095408305,0,0,0,0,0.667381553648365,0,"Streptococcus salivarius - tetM (Tetracycline)"
"10","k141_1018613.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus cristatus",NA,"Chromosome","Chromosome",579,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00951586644412365,0,0,0,0,0,0,0,0,0.173653252667268,0,0,0,0,0,0,0,0.0548145271751475,0,0.185487332521131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368834186577416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0766630273441268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379632745069994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634850410672577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544287412116225,0,0,0,0,0,0,0,0,"Streptococcus cristatus - tetB(60) (Tetracycline)"
