"","ContigID","Protein_Hit","Gene","Drug","Mechanism","Genus","Species","Family","PlasmidOrChr","Type"
"2144","k141_997853.concoct_part_0","AAC75136","mdtB","Aminocoumarin antibiotic","antibiotic efflux","Stenotrophomonas","Stenotrophomonas maltophilia",NA,"Chromosome","Chromosome"
"2143","k141_996645.concoct_part_0","AYV52072","lmrD","MLS","antibiotic efflux","Streptococcus","Streptococcus sanguinis",NA,"Chromosome","Chromosome"
"2142","k141_995319.concoct_part_7","CAA09666","Klebsiella pneumoniae OmpK37","Beta-lactam","reduced permeability to antibiotic","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"2141","k141_995319.concoct_part_1","BAJ42218","Escherichia coli ampH","Beta-lactam","antibiotic inactivation","Serratia","Serratia marcescens",NA,"Plasmid","Plasmid"
"2140","k141_989377.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"2139","k141_988875.concoct_part_0","AYV52072","lmrD","MLS","antibiotic efflux","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"2138","k141_988856.concoct_part_1","AAC73564","acrB","Multidrug","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"2137","k141_987409.concoct_part_0","AAX14802","adeJ","Multidrug","antibiotic efflux","Capnocytophaga","Capnocytophaga sputigena",NA,"Chromosome","Chromosome"
"2136","k141_980890.concoct_part_0","AAC76093","bacA","Peptide antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"2135","k141_980371.concoct_part_2","BAA11237","emrY","Tetracycline","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"2134","k141_978521.concoct_part_0","AAN00989","Streptococcus agalactiae mprF","Peptide antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"2133","k141_977034.concoct_part_0","CAC14595","smeE","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"2132","k141_975109.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Streptococcus","Streptococcus cristatus",NA,"Chromosome","Chromosome"
"2131","k141_974087.concoct_part_0","AET10444","tetA(46)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus anginosus",NA,"Chromosome","Chromosome"
"2130","k141_971476.concoct_part_0","AAC75089","ugd","Peptide antibiotic","antibiotic target alteration","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"2129","k141_969921.concoct_part_0","BAB38260","cpxA","Aminoglycoside","antibiotic efflux","Haemophilus","Haemophilus parahaemolyticus",NA,"Chromosome","Chromosome"
"2128","k141_969054.concoct_part_0","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Enterobacter","Enterobacter hormaechei",NA,"Chromosome","Chromosome"
"2127","k141_968894.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Escherichia","Escherichia coli",NA,"Chromosome","Chromosome"
"2126","k141_967885.concoct_part_0","AAC75137","mdtC","Aminocoumarin antibiotic","antibiotic efflux","Lautropia","Lautropia mirabilis",NA,"Chromosome","Chromosome"
"2125","k141_96779.concoct_part_0","ANZ79240","tetA(60)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus pneumoniae",NA,"Chromosome","Chromosome"
