"","AL0002_S124","AL0003_S134","AL0004_S144","CH0001_S154","CH0002_S83","CH0006_S93","CH0012_S103","CH0016_S114","CH0018_S125","CH0019_S135","CH0020_S145","CH0022_S155","CH0023_S84","CH0030_S94","CH0035_S104","CH0038_S115","CH0039_S126","CH0050_S136","CH0055_S146","DU0002_S32","DU0004_S42","DU0005_S52","DU0007_S62","DU0010_S72","DU0012_S82","DU0013_S11","DU0017_S22","DU0019_S112","DU0034_S123","DU0038_S133","DU0047_S143","DU0058_S153","DU0059_S163","DU0063_S92","DU0064_S102","DU0071_S113","DU0074_S29","DU0076_S26","DU0077_S3","DU0083_S1","DU0087_S4","DU0089_S14","DU0099_S24","IT103_S55","IT11_S34","IT148_S66","IT173_S76","IT197_S5","IT202_S15","IT222_S25","IT226_S35","IT230_S45","IT236_S56","IT254_S67","IT257_S77","IT261_S6","IT271_S16","IT309_S26","IT311_S36","IT315_S46","IT323_S57","IT337_S68","IT338_S78","IT339_S7","IT361_S17","IT381_S27","IT52_S44","IT85_S58","KL0002_S156","KL0003_S85","KL0004_S95","KL0006_S105","KL0007_S116","KL0008_S127","KL0009_S137","KL0010_S147","KL0011_S157","KL0012_S10","KL0013_S86","KL0014_S96","KL0016_S106","KL0017_S117","KL0018_S128","KL0019_S138","KL0020_S37","KL0021_S148","KL0022_S158","KL0023_S87","KL0024_S97","KL0025_S107","KL0026_S118","KL0027_S129","KL0028_S139","KL0029_S149","KL0031_S159","KL0035_S88","KL0036_S98","KL0037_S108","KL0039_S119","KL0040_S130","KL0041_S140","KL0042_S150","KL0043_S160","SBE0003_S40","SBE0004_S51","SBE0006_S62","SBE0007_S72","SBE0008_S1","SBE0009_S11","SBE0010_S21","SBE0011_S31","SBE0012_S41","SBE0015_S52","SBE0018_S63","SG0001_S89","SG0002_S99","SG0003_S109","SG0006_S120","SG0012_S131","SG0024_S141","SG0025_S151","SG0028_S161","SG0031_S90","TBE0001_S73","TBE0002_S2","TBE0003_S12","TBE0004_S22","TBE0005_S32","TBE0006_S42","TBE0007_S53","TBE0008_S64","TBE0009_S74","TBE0010_S3","TBE0011_S13","TBE0012_S23","TBE0013_S33","TBE0014_S43","TBE0015_S133","TBE0016_S142","TBS002_S63","TBS006_S66","TBS011_S40","TBS035_S33","TBS150_S43","TBS153_S71","TBS160_S28","TBS165_S41","TBS277_S78","TBS349_S69","TBS365_S81","TBS385_S73","TBS387_S47","TBS396_S4","TBS425_S56","TBS435_S44","TBS442_S70","TBS461_S37","TBS466_S7","TBS467_S17","TBS468_S59","TBS469_S60","TBS479_S75","TBS480_S80","TBS488_S21","TBS516_S25","TBS524_S49","TBS556_S34","TBS559_S20","TBS587_S9","TBS596_S14","TBS656_S45","TBS663_S5","TBS664_S8","TBS668_S51","TBS670_S12","TBS671_S67","TBS672_S48","TH0007_S20","TH0008_S30","TH0016_S54","TH0017_S65","TH0019_S75","TT0003_S100","TT0005_S110","TT0006_S121","TT0009_S132","TT0010_S142","TT0011_S152","TT0012_C1","TT0014_S162","TT0015_S91","TT0016_C1","TT0017_S101","TT0018_S111","TT0019_S122","TT0021_S48","TT0025_S1","TT0029_S64","TT0030_S59","TT0031_S69","TT0033_S79","TT0034_S8","TT0038_S18","TT0040_S47","TT0042_S28","TT0043_S38","TT0045_S49","TT0048_S60","TT0049_S70","TT0051_S80","TT0053_S9","TT0059_S19","TT0060_S29","TT0061_S39","TT0062_S50","TT0063_S61","TT0065_S71","TT0067_S81","TT0069_S10","TTS1106_S54","TTS1108_S15","TTS1111_S53","TTS1115_S50","TTS1116_S57","TTS1118_S65","TTS1120_S38","TTS1122_S79","TTS1123_S10","TTS1131_S31","TTS1134_S35","TTS1141_S18","TTS1146_S76","TTS1149_S46","TTS1160_S6","TTS1170_S27","TTS1188_S58","TTS1189_S61","TTS1194_S68","TTS1200_S77","TTS1203_S39","TTS1204_S2","TTS1205_S19","TTS1210_S64","TTS1212_S36","TTS1214_S16","TTS1223_S23","TTS1263_S30","TTS1272_S24","TTS1301_S13","TTS1320_S74","TTS1330_S55"
"k141_734754.concoct_part_0",0,0,0,0,2.69610594744248,0,10.1073777087209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0833142004889,0,0,0,0,5.1406864862718,15.1359931148157,19.473849253596,0,0,21.4436314625973,16.125459085438,0,3.7141247852332,64.0259435556273,25.3282052389139,41.8662031117666,58.2654801934695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5161227115062,0,0,0,0,0,0,10.7754370303528,0,0,0,5.93921646646968,19.8862383717564,0,0,0,11.6022096240503,0,43.5883574399629,24.1769489926265,0,0,0,0,0,2.16849275772609,0,0,0,0,0,1.05750110856822,0,0,0,16.8084255385338,0,0,0,0,0,0,0,0,0,0,13.7879332459484,0,3.58197841309283,0,0,0,11.0352940624749,0,0,0,0,0,0,0,0,19.3981318843976,19.7688516855087,0,36.1849107240793,0,0,42.6215877722091,0,0,0,8.74802619909187,12.5315134765518,0,0,16.4508731105956,0,22.6695742614374,0,27.6591649213646,22.5984661179785,0,27.0569769372547,21.5169913710546,17.2495639254597,0,0,24.8909324954727,0,0,0,44.5336080840385,0,0,0,0,0,0,0,26.9521652154324,0,0,0,0,0,22.9956178211013,0,10.1745417502785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12801198551657,0,0,0,0,12.5174045239986,0,0,34.1179276463138,0,0,0,0,0,49.7379834307769,18.6671222523904,0,0,0,16.2065876341861,0,0,20.0851902008122,0,0,0,0,0,0,0,0,0,30.2753147515538,13.769659610534,2.7067190458869,25.1597976545335,14.761063686494,0,0,0,0,0,0,0,0,34.7177344997295,15.9258814278028,0,16.2565471739141,0,0,0,0,0,0,0,4.50841923543694,11.7405815303939,0,0,0,44.9731015848929,16.670845366596,2.23322495718301,0,42.7895020737396,0,0,0,0,20.1733491730052,0
"k141_2937623.concoct_part_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44608782282477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68511533361586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.370983557345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k141_1469372.concoct_part_0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89708843574467,0,0,5.01306029976207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05519552435542,0,0,0,0,0,2.64501894037169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36575273522043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53505427154778,0,0,6.01956751279114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45081953483916,0,0,0,0,0,0,0,0,0,0,0,3.32537751206186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21818669488163,0,0,0,0,0,0,0,0
"k141_735136.concoct_part_0",0,0,0,19.105609379579,5.32899505580975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72416954838865,0,2.46460703914927,0,0,0,0,3.49918965328628,0,0,6.05492345894464,2.89752882706722,0,7.34116277438702,0,0,0,7.19779892575059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26073758676795,0,0,0,0,0,6.38946522632874,0,0,0,0,1.03437355117636,0,0,0,0,0,8.61546785684638,0,0,0,0,0,0,0,0,7.41852611546112,0,0,0,38.1462686455808,0,0,0,0,0,0,0,48.5455684332094,0,0,0,0,0,0,6.813143616184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51236233199249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2019011410798,0,3.03721070287393,1.5402432959594,0,0,0,0,0,0,0,0,0,0,22.0057540322489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35175272159939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45774343586151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33600511650489,0,0,0,0,0,21.7079186542334,0,0,0,0,0,0,0,24.5701961193452,0,0,0,0,0,0,0,31.1285156232573,0,0,0,0,1.47136215308703,0,13.0116459947796,0,0,0,0,0,0
"k141_2204126.concoct_part_0",0,0,0,0,4.9199871413089,0,4.61111036886652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93155572135779,0,6.46124378756949,0,0,0,2.67513938771639,0,0,0,0,0,0,0,0,6.34461386073105,0,0,0,0,0,0,0,0,0,0,0,8.97959051546015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90996783363479,0,0,0,0,0,31.8168740095432,7.35321487598558,0,0,0,0,0,22.4239778609374,0,0,0,0,0,0,0,0,0,0,0,12.3422557183666,0,0,0,0,0,0,0,0,0,0,6.53657091984096,0,0,0,1.67814575126525,0,0,0,0,0,0,0,0,5.40812983958409,0,0,0,0,0,11.6666964059975,0,57.9828561223708,0,0,0,0,0,0,0,0,0,22.4328038545194,9.95419209789299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.130038763351,0,0,0,0,0,0,0,0,15.8733644573947,0,0,0,0,2.61803185369411,0,0,0,0,0,0,0,0,0,0,0,0.98787088938637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35843302491051,0,0,0,0,0,0,0,0
"k141_1837073.concoct_part_0",0,0,0,10.2822995116117,4.3019556851953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795844631327357,0,0,2.05064321344659,0,2.82480254998925,0,0,0,3.50864669982087,7.51895791349548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6976688205021,0,0,41.7302255369562,12.8590598437187,0,0,0,0,0,39.2143134820833,0,0,0,4.27808385790903,0,0,0,0,0,6.70495737317644,0,7.19457668360708,0,0,0,0,0,0,0,0,0,0,17.1464097096061,5.39694792457314,0,0,5.86937197020501,0,0,0,0,0,0,0,0,2.57933433653985,5.25725654926691,0,0,0,0,23.8027232204739,0,30.2038108676488,0,0,4.99887770505574,0,0,0,0,0,0,38.412461670275,14.9207683645628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79967050618778,0,0,10.5589018167059,0,9.98649915946114,0,0,46.2733079917409,0,0,0,0,0,0.992035387153239,0,0,0,0,4.84866112248659,0,0,4.57832782629,0,0,0,0,0,0,0,0,0,12.0769607125484,4.39422386208021,0,0,3.36471738359646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58031538510164,0,0,0,0,0,9.36674271092503,0,0,0,0,0,14.2534974339371,0,0,0,0,0,0,0,0
"k141_736201.concoct_part_0",0,0,0,0,3.07781767574774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46712481272608,0,0,0,0,4.662780443484,0,0,0,0,0,4.15596298370775,0,0,0,0,0,0,35.7998463073583,0,0,0,0,0,0,0,0,11.2348026999548,0,0,0,0,0,0,0,0,0,0,8.61070812561009,8.78343165622946,0,0,0,0,0,0,0,0,0,19.9038197460733,0,0,0,0,0,0,11.552359411924,0,0,0,0,0,0,0,0,0,0,0,10.2946645231764,0,0,0,0,0,0,0,0,0,0,8.17822199043917,9.65306417178215,0,0,12.5976589142493,0,0,0,0,0,0,0,0,98.4199918188919,0,0,0,0,0,0,0,92.6108593055303,0,0,14.3057114348898,0,19.4841801884986,0,0,25.8791077664119,0,23.3889771920737,1.7791677386105,0,0,12.2816717261361,19.6917383009679,59.774757946385,0,0,0,12.3451583320506,49.1465434995507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4225633480832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.3343907282678,0,0,0,0,0,0,0,23.3689838938232,0,0,0,0,0,14.9047060761591,0,0,9.92996938759437,0,0,0,3.85940395044945,6.55109412568642,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40727413180193,0,0,0,0,15.5632222523844,0,0,0,0,18.1806502844785,0,2.31976641561335,0,0,24.5550147777101,0,0,0,0,10.9367721266861,0,0,0,0,0,0,56.9366558703121,0,0,0,0,0,0,0,0
"k141_2572299.concoct_part_0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.94990352906,0,0,0,0,0,0,0,10.3303034423965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k141_2792.concoct_part_1",0,0,0,0,0,0,0,32.704653957803,0,0,0,0,0,0,2.93676733987445,0,0,0,169.670085272768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6174032440273,7.06660648628235,0,0,0,0.0889254693170358,3.57130816496724,0,0,0,0,0,0,0,0,0,0,0,0,141.295491369477,0,0,0,0,1.30670051525375,0,0,0,177.324892052104,0,0,89.9249695307418,0,0,117.841195035446,0,0,0,119.368124810486,0,0,178.414746445121,0,0,0,0,0,0,0,0,0,112.189777717988,0,0,0,0,0,0,0,0,0,0,1.0898425295623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.28375273361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.865920274474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44179563392523,0,0,0,0,0,0,0,0,0,0,0,0.521987479544571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25603767528232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k141_2205125.concoct_part_0",0,0,0,1.47022624425569,1.23024001447469,0,0,0,0,0,0,0,13.1802141163037,0,0,0,0,0,0,0,0,6.368607508026,0,10.9242956356784,0,0,6.30409117455681,0,3.23126074212839,0,0,0,3.67904403710445,15.0514940144933,0,0,8.66799344698343,15.781280357977,10.246952317431,0,44.4590318615038,0,0,0,0,0,0,0,0,0,0,0,2.92154613805745,0,0,0,0,19.5179691940391,1.96724891486008,0,0,0,0,0,11.8004625040205,7.0216823907686,0,0,2.25839967410808,2.14913871624951,0,0,14.710939788726,5.29411781809604,0,5.96684357364392,27.5800085924453,0,0,0,25.0704048032935,0,4.12286988107149,7.5972016937589,0,0,0,0,8.56509300057095,0,0,0,3.83486370360148,0,16.9739575117381,0.624533559427271,0,0,0,0,0,0,0,9.43720361517807,0,0.817232939037784,47.4588558542405,0,0,0,0,0,0,0,0,0,0,0,10.3266531810546,0,0,0,0,0,4.86208477893423,0,0,0,0,0,0,0,0,0,1.29302306322481,0,7.71280121285151,44.0915680055992,0,0,4.9091289978586,0,0,0,0,0,2.46725267139556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66413108056599,5.41644755059094,0,0,0,0,0,0,1.67289990790548,0,0,0,0,0,0,0,0.343143162383489,0,12.3652468259733,10.5684357674432,0,0,0,0,7.78404866493898,0,0,0,0,0,7.80160170277844,0,0,9.26129363842361,0,8.78168984482531,0,15.040830322879,11.7834730366969,0,0,0,0,0,0,0,0,0,6.90735163681319,0,43.4749145015997,5.74023989303073,20.2065329300879,0,0,0,2.14179068981209,0,0,0,0,0,7.26702028043365,18.3625559143559,0,0,0,0,0,0,0,0,1.54290238966403,0,3.59313014084908,0,0,12.3128045165852,0,13.5870165204065,0,4.5057597321766,0,0,7.96409628428758,0,9.20515063665919,0
