"Contig","Description","Top_hit","BitScore","Evalue"
"k141_734754.concoct_part_0","CP014264.1","Streptococcus sp. oral taxon 431, complete genome","1461",0
"k141_2937623.concoct_part_3","CP019672.1","Burkholderia cenocepacia strain VC12308 chromosome 2, ...","18162",0
"k141_1469372.concoct_part_0","CP022384.1","Capnocytophaga leadbetteri strain H6253 chromosome, co...","2298",0
"k141_735136.concoct_part_0","CP054134.1","Streptococcus oralis subsp. oralis strain SN51445 chro...","972",0
"k141_2204126.concoct_part_0","NG_048318.1","Streptococcus australis FRStet12 tetB(46) gene for te...","512",2e-141
"k141_1837073.concoct_part_0","CP006776.1","Streptococcus sp. I-P16, complete genome","2228",0
"k141_736201.concoct_part_0","FQ312002.1","Haemophilus parainfluenzae T3T1 complete genome","1716",0
"k141_2572299.concoct_part_0","CP044107.1","Enterobacter hormaechei strain FDAARGOS_642 chromosome...","6554",0
"k141_2792.concoct_part_1","CP026011.1","Klebsiella pneumoniae strain K2044 chromosome, complet...","18284",0
"k141_2205125.concoct_part_0","CP046315.1","Schaalia odontolytica strain FDAARGOS_732 chromosome, ...","4366",0
"k141_1837817.concoct_part_3","","","",NA
"k141_3158.concoct_part_0","CP008869.2","Pseudomonas aeruginosa strain W16407, complete genome","18362",0
"k141_3158.concoct_part_1","LR657304.1","Pseudomonas aeruginosa strain PAK genome assembly, chr...","32145",0
"k141_370748.concoct_part_0","CP040504.1","Neisseria sp. oral taxon 014 str. F0314 chromosome","32358",0
"k141_370907.concoct_part_0","CP020451.2","Streptococcus salivarius strain FDAARGOS_259 chromosom...","6577",0
"k141_2573303.concoct_part_0","","","",NA
"k141_3674546.concoct_part_0","","","",NA
"k141_3885.concoct_part_0","CP023863.1","Prevotella jejuni strain CD3:33 chromosome I, complete...","7020",0
"k141_4016.concoct_part_0","AP018338.1","Streptococcus oralis subsp. tigurinus DNA, complete ge...","1652",0
"k141_1472856.concoct_part_0","FQ312002.1","Haemophilus parainfluenzae T3T1 complete genome","2603",0
"k141_2942332.concoct_part_0","LS483375.1","Streptococcus gordonii strain NCTC3165 genome assembly...","8564",0
"k141_3308724.concoct_part_0","LR798194.1","Burkholderia cenocepacia strain IST439 genome assembly...","28321",0
"k141_739324.concoct_part_0","CP015034.1","Burkholderia cenocepacia strain 842 chromosome 2, comp...","33425",0
"k141_2575146.concoct_part_0","CP014264.1","Streptococcus sp. oral taxon 431, complete genome","1277",0
"k141_4043112.concoct_part_0","CP059571.1","Neisseria bacilliformis strain DSM 23338 chromosome, c...","15134",0
"k141_2944094.concoct_part_0","LR134528.1","Neisseria meningitidis strain NCTC12163 genome assembl...","497",4e-136
"k141_2208531.concoct_part_0","CP053988.1","Abiotrophia defectiva strain FDAARGOS_785 chromosome, ...","2270",0
"k141_1841576.concoct_part_0","CP049046.1","Enterobacter hormaechei strain Y233 chromosome, comple...","2130",0
"k141_2944625.concoct_part_0","","","",NA
"k141_373635.concoct_part_0","FQ312002.1","Haemophilus parainfluenzae T3T1 complete genome","2289",0
"k141_6129.concoct_part_0","KX949735.2","Proteus mirabilis strain 20299C dihydropteroate syntha...","2944",0
"k141_3311032.concoct_part_0","CP047837.1","Staphylococcus aureus strain UP_719 chromosome, comple...","6139",0
"k141_3677447.concoct_part_0","LR134285.1","Streptococcus australis strain NCTC3168 genome assembl...","1934",0
"k141_6376.concoct_part_0","","","",NA
